               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086308,            0.050157,                   0,           0.0016667,                 0.5,           0.0015952,          0.00037542,            0.085722,            0.045951,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.086904,            0.049502,                   0,           0.0016667,                 0.5,           0.0015853,          0.00029585,            0.085496,            0.045356,                   0,            0.091896,          0.00089595,          0.00089595
                   2,            0.083812,            0.049266,                   0,           0.0013333,                 0.4,           0.0010793,          0.00029114,             0.08512,            0.044849,                   0,            0.087387,           0.0013874,           0.0013874
                   3,            0.080796,             0.04892,                   0,           0.0013333,                 0.4,           0.0010086,          0.00025929,            0.084035,            0.044047,                   0,            0.082874,           0.0018743,           0.0018743
                   4,            0.079543,            0.048661,                   0,               0.002,                 0.6,           0.0018359,          0.00033251,            0.079448,            0.042531,                   0,            0.078357,           0.0023568,           0.0023568
                   5,            0.068454,             0.04742,                   0,               0.002,                 0.6,           0.0018359,          0.00033251,            0.079448,            0.042531,                   0,            0.073835,           0.0028347,           0.0028347
                   6,            0.068996,            0.047327,                   0,               0.002,                 0.6,           0.0018359,          0.00033251,            0.079448,            0.042531,                   0,            0.069308,           0.0033082,           0.0033082
                   7,            0.065734,            0.046455,                   0,            0.003494,                 0.7,           0.0036224,          0.00061959,            0.071004,            0.041465,                   0,            0.064777,           0.0037771,           0.0037771
                   8,            0.060588,            0.045711,                   0,            0.003494,                 0.7,           0.0036224,          0.00061959,            0.071004,            0.041465,                   0,            0.060242,           0.0042416,           0.0042416
                   9,            0.061425,            0.045748,                   0,            0.003494,                 0.7,           0.0036224,          0.00061959,            0.071004,            0.041465,                   0,            0.055702,           0.0047015,           0.0047015
                  10,            0.061394,            0.044995,                   0,           0.0033333,                   1,           0.0045548,           0.0012772,            0.061105,            0.038947,                   0,            0.051157,            0.005157,            0.005157
                  11,            0.061027,            0.042158,                   0,           0.0033333,                   1,           0.0045548,           0.0012772,            0.061105,            0.038947,                   0,            0.046608,           0.0056079,           0.0056079
                  12,            0.061732,            0.042023,                   0,           0.0033333,                   1,           0.0045548,           0.0012772,            0.061105,            0.038947,                   0,            0.042054,           0.0060544,           0.0060544
                  13,            0.059414,            0.042323,                   0,           0.0033333,                   1,           0.0045548,           0.0012772,            0.061105,            0.038947,                   0,            0.037496,           0.0064963,           0.0064963
                  14,            0.061886,            0.042229,                   0,           0.0033333,                   1,           0.0045548,           0.0012772,            0.061105,            0.038947,                   0,            0.032934,           0.0069338,           0.0069338
                  15,            0.060403,            0.041259,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,            0.028367,           0.0073668,           0.0073668
                  16,            0.060813,            0.037705,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,            0.023795,           0.0077952,           0.0077952
                  17,            0.062392,            0.037605,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,            0.019219,           0.0082191,           0.0082191
                  18,            0.060305,            0.037711,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,            0.014639,           0.0086386,           0.0086386
                  19,            0.061362,            0.037563,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,            0.010054,           0.0090536,           0.0090536
                  20,             0.06083,            0.037592,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,              0.0091,              0.0091,              0.0091
                  21,            0.059943,            0.037639,                   0,           0.0027169,                 0.6,           0.0062215,           0.0015839,            0.060656,            0.035155,                   0,              0.0091,              0.0091,              0.0091
                  22,            0.063378,            0.034284,                   0,           0.0023505,                 0.6,           0.0037271,            0.001559,             0.06481,            0.031473,                   0,            0.009055,            0.009055,            0.009055
                  23,            0.065136,            0.033656,                   0,           0.0023505,                 0.6,           0.0037271,            0.001559,             0.06481,            0.031473,                   0,             0.00901,             0.00901,             0.00901
                  24,            0.064023,            0.033719,                   0,           0.0023505,                 0.6,           0.0037271,            0.001559,             0.06481,            0.031473,                   0,            0.008965,            0.008965,            0.008965
                  25,            0.062371,            0.033682,                   0,           0.0023505,                 0.6,           0.0037271,            0.001559,             0.06481,            0.031473,                   0,             0.00892,             0.00892,             0.00892
                  26,             0.06481,             0.03364,                   0,           0.0023505,                 0.6,           0.0037271,            0.001559,             0.06481,            0.031473,                   0,            0.008875,            0.008875,            0.008875
