               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050145,            0.013201,                   0,           0.0033333,                   1,            0.074048,            0.015303,            0.044007,            0.016396,                   0,            0.067465,          0.00032864,          0.00032864
                   1,            0.042922,            0.010816,                   0,           0.0035943,                   1,             0.13377,            0.057992,            0.042097,            0.015697,                   0,            0.034464,          0.00066167,          0.00066167
                   2,            0.042234,            0.010755,                   0,           0.0032432,             0.97297,           0.0058683,           0.0015874,            0.054456,            0.016146,                   0,           0.0014639,          0.00099441,          0.00099441
                   3,            0.043868,            0.010717,                   0,           0.0031532,             0.94595,            0.041701,            0.010764,            0.040677,            0.018801,                   0,          0.00099865,          0.00099865,          0.00099865
                   4,            0.046039,            0.010437,                   0,           0.0023423,              0.7027,            0.010894,           0.0033669,            0.051915,            0.015659,                   0,          0.00099865,          0.00099865,          0.00099865
                   5,            0.041376,            0.010751,                   0,           0.0037594,                   1,            0.097748,            0.035438,            0.040682,            0.015843,                   0,           0.0009982,           0.0009982,           0.0009982
                   6,            0.041013,            0.010564,                   0,           0.0032252,             0.94595,             0.30475,            0.094537,            0.037708,            0.017313,                   0,          0.00099775,          0.00099775,          0.00099775
                   7,            0.039101,            0.010856,                   0,           0.0039416,                   1,              0.0818,            0.025004,            0.036624,            0.017411,                   0,           0.0009973,           0.0009973,           0.0009973
                   8,            0.038171,            0.011014,                   0,           0.0034579,                   1,             0.24029,            0.055767,            0.035718,            0.017454,                   0,          0.00099685,          0.00099685,          0.00099685
                   9,            0.034489,            0.010853,                   0,           0.0034155,                   1,             0.32046,             0.11125,            0.035624,            0.016641,                   0,           0.0009964,           0.0009964,           0.0009964
                  10,            0.034362,            0.010331,                   0,           0.0046354,                   1,              0.2244,             0.10568,            0.032016,            0.017536,                   0,          0.00099595,          0.00099595,          0.00099595
                  11,            0.033059,            0.010187,                   0,           0.0033475,                   1,             0.17901,              0.0554,            0.031857,            0.017455,                   0,           0.0009955,           0.0009955,           0.0009955
                  12,            0.031627,           0.0099639,                   0,           0.0034706,                   1,             0.16342,            0.048111,            0.032312,            0.016171,                   0,          0.00099505,          0.00099505,          0.00099505
                  13,            0.030805,           0.0098463,                   0,            0.070056,             0.89189,             0.55058,             0.24137,             0.02738,            0.016373,                   0,           0.0009946,           0.0009946,           0.0009946
                  14,            0.027351,           0.0096882,                   0,             0.22327,             0.54054,             0.37143,             0.14107,            0.028004,            0.015671,                   0,          0.00099415,          0.00099415,          0.00099415
                  15,            0.027749,           0.0090847,                   0,             0.70247,             0.70194,              0.7154,             0.41325,            0.025572,            0.014479,                   0,           0.0009937,           0.0009937,           0.0009937
                  16,            0.027719,           0.0085008,                   0,             0.79926,             0.54054,             0.80002,             0.41534,            0.027032,            0.013176,                   0,          0.00099325,          0.00099325,          0.00099325
                  17,            0.028094,           0.0081226,                   0,             0.69718,             0.51351,              0.6773,             0.46173,            0.025924,            0.012908,                   0,           0.0009928,           0.0009928,           0.0009928
                  18,            0.026207,           0.0079791,                   0,                   1,             0.51629,             0.82307,              0.4687,            0.025656,            0.012318,                   0,          0.00099235,          0.00099235,          0.00099235
                  19,             0.02436,           0.0074053,                   0,              0.7386,             0.89189,             0.92196,             0.57887,            0.024449,            0.011592,                   0,           0.0009919,           0.0009919,           0.0009919
                  20,            0.024222,           0.0068635,                   0,             0.74174,             0.67568,             0.86049,             0.52352,            0.024651,            0.010975,                   0,          0.00099145,          0.00099145,          0.00099145
                  21,              0.0262,           0.0065057,                   0,             0.85936,             0.82591,             0.92308,             0.62033,            0.025991,           0.0099404,                   0,            0.000991,            0.000991,            0.000991
                  22,            0.024722,           0.0061499,                   0,             0.93567,             0.78634,              0.9219,             0.55818,            0.024986,           0.0090995,                   0,          0.00099055,          0.00099055,          0.00099055
                  23,            0.023922,           0.0054944,                   0,             0.91528,             0.81081,             0.93019,             0.63694,            0.024737,            0.009719,                   0,           0.0009901,           0.0009901,           0.0009901
                  24,            0.022882,           0.0054748,                   0,             0.86579,             0.87188,             0.93931,             0.68142,            0.024069,           0.0086856,                   0,          0.00098965,          0.00098965,          0.00098965
                  25,            0.022355,           0.0050503,                   0,                   1,             0.85749,             0.97153,             0.72272,            0.024553,           0.0090314,                   0,           0.0009892,           0.0009892,           0.0009892
                  26,            0.022769,           0.0049519,                   0,             0.91605,             0.88485,              0.9137,             0.60973,            0.023481,           0.0082738,                   0,          0.00098875,          0.00098875,          0.00098875
                  27,            0.022533,           0.0050978,                   0,             0.89454,             0.89189,             0.91487,              0.5459,            0.023238,                0.01,                   0,           0.0009883,           0.0009883,           0.0009883
                  28,            0.022982,           0.0050966,                   0,             0.92927,             0.91892,              0.9676,             0.69203,            0.022203,           0.0083672,                   0,          0.00098785,          0.00098785,          0.00098785
                  29,            0.021531,           0.0053835,                   0,             0.88825,             0.91892,             0.94053,              0.5921,            0.023482,           0.0088113,                   0,           0.0009874,           0.0009874,           0.0009874
                  30,            0.021916,           0.0053672,                   0,              0.9418,             0.51351,             0.63025,             0.34552,            0.032132,            0.014267,                   0,          0.00098695,          0.00098695,          0.00098695
