               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11805,            0.014379,                   0,           0.0039167,              0.5875,           0.0038688,          0.00085727,             0.10396,            0.018678,                   0,            0.067465,          0.00032864,          0.00032864
                   1,            0.095794,            0.015532,                   0,           0.0045833,              0.6875,           0.0099204,           0.0019286,            0.098035,            0.019748,                   0,            0.034464,          0.00066138,          0.00066138
                   2,            0.088099,            0.016109,                   0,               0.004,                 0.6,           0.0075284,            0.001965,            0.094087,            0.020302,                   0,            0.001463,          0.00099351,          0.00099351
                   3,            0.085019,            0.016458,                   0,           0.0051667,               0.775,            0.015913,           0.0039121,             0.09156,            0.020127,                   0,           0.0009973,           0.0009973,           0.0009973
                   4,            0.085472,            0.016489,                   0,           0.0051533,              0.7625,            0.017913,            0.003256,             0.10638,            0.018017,                   0,           0.0009973,           0.0009973,           0.0009973
                   5,            0.086079,            0.016073,                   0,           0.0059167,              0.8875,            0.012453,           0.0040824,             0.08398,            0.020425,                   0,           0.0009964,           0.0009964,           0.0009964
                   6,            0.079591,             0.01694,                   0,           0.0058333,               0.875,            0.011103,           0.0031479,            0.081218,            0.021105,                   0,           0.0009955,           0.0009955,           0.0009955
                   7,            0.073412,            0.017302,                   0,           0.0063333,                0.95,            0.013526,           0.0040266,             0.07964,            0.020973,                   0,           0.0009946,           0.0009946,           0.0009946
                   8,            0.072913,            0.016953,                   0,              0.0065,               0.975,            0.071767,            0.018222,            0.076453,            0.020944,                   0,           0.0009937,           0.0009937,           0.0009937
                   9,             0.06718,            0.017151,                   0,              0.0065,               0.975,            0.024884,           0.0081331,            0.076823,            0.020264,                   0,           0.0009928,           0.0009928,           0.0009928
                  10,            0.065407,            0.017321,                   0,              0.0065,               0.975,            0.027963,           0.0092675,            0.071578,            0.021019,                   0,           0.0009919,           0.0009919,           0.0009919
                  11,            0.061023,            0.017398,                   0,           0.0065833,              0.9875,            0.024514,           0.0086226,            0.069513,            0.021129,                   0,            0.000991,            0.000991,            0.000991
                  12,            0.058752,            0.017331,                   0,           0.0065833,              0.9875,            0.043748,            0.014164,            0.067777,            0.021041,                   0,           0.0009901,           0.0009901,           0.0009901
                  13,            0.060091,            0.016743,                   0,           0.0065833,              0.9875,            0.054583,            0.014721,            0.067336,            0.020594,                   0,           0.0009892,           0.0009892,           0.0009892
                  14,            0.056762,            0.016957,                   0,              0.0065,               0.975,            0.085687,            0.020174,            0.066556,            0.020765,                   0,           0.0009883,           0.0009883,           0.0009883
                  15,            0.055466,            0.016521,                   0,              0.0065,               0.975,             0.14686,            0.043165,             0.06631,            0.019849,                   0,           0.0009874,           0.0009874,           0.0009874
                  16,            0.055112,            0.016156,                   0,           0.0065833,              0.9875,             0.15432,            0.039482,             0.06921,            0.019821,                   0,           0.0009865,           0.0009865,           0.0009865
                  17,             0.05837,            0.016147,                   0,           0.0079781,               0.975,             0.16907,            0.040677,            0.066015,            0.019072,                   0,           0.0009856,           0.0009856,           0.0009856
                  18,            0.053459,            0.015583,                   0,             0.15539,                0.85,             0.33485,             0.10018,            0.065235,            0.018211,                   0,           0.0009847,           0.0009847,           0.0009847
                  19,            0.051165,            0.015139,                   0,             0.25744,                0.65,             0.40308,             0.11326,            0.064463,            0.018172,                   0,           0.0009838,           0.0009838,           0.0009838
                  20,            0.050272,            0.015083,                   0,             0.27508,              0.5625,             0.36678,             0.11171,            0.061328,            0.018403,                   0,           0.0009829,           0.0009829,           0.0009829
                  21,            0.049002,            0.014784,                   0,             0.38245,             0.55741,             0.43751,             0.12247,              0.0608,            0.018152,                   0,            0.000982,            0.000982,            0.000982
                  22,            0.050116,            0.014481,                   0,              0.3349,              0.4875,             0.35891,             0.10903,            0.060563,            0.017828,                   0,           0.0009811,           0.0009811,           0.0009811
                  23,            0.045694,            0.014431,                   0,             0.37887,               0.575,             0.43672,             0.13038,            0.061743,            0.017272,                   0,           0.0009802,           0.0009802,           0.0009802
                  24,            0.045045,            0.013793,                   0,             0.33437,             0.51492,             0.34611,             0.11323,            0.060843,            0.017007,                   0,           0.0009793,           0.0009793,           0.0009793
                  25,             0.04331,            0.013305,                   0,             0.45178,                 0.6,             0.46114,             0.12915,            0.060721,            0.016786,                   0,           0.0009784,           0.0009784,           0.0009784
                  26,             0.04269,            0.013099,                   0,             0.45438,                0.65,             0.47041,             0.14868,             0.06093,             0.01675,                   0,           0.0009775,           0.0009775,           0.0009775
                  27,            0.040828,            0.012738,                   0,             0.38817,              0.7625,             0.49191,             0.16337,            0.059563,            0.015712,                   0,           0.0009766,           0.0009766,           0.0009766
                  28,            0.040044,            0.012222,                   0,             0.41491,                 0.7,             0.52827,             0.17478,            0.058967,            0.015527,                   0,           0.0009757,           0.0009757,           0.0009757
                  29,            0.038737,             0.01179,                   0,             0.59608,              0.6375,             0.61227,             0.19937,            0.059278,             0.01503,                   0,           0.0009748,           0.0009748,           0.0009748
                  30,            0.037176,            0.011174,                   0,             0.70919,              0.7621,             0.69132,             0.26079,               0.061,            0.014046,                   0,           0.0009739,           0.0009739,           0.0009739
                  31,            0.036843,            0.010481,                   0,             0.70115,               0.725,             0.70247,              0.2773,            0.060181,            0.013781,                   0,            0.000973,            0.000973,            0.000973
                  32,            0.035871,            0.010273,                   0,              0.6814,              0.6875,             0.72917,             0.30447,            0.057535,            0.013569,                   0,           0.0009721,           0.0009721,           0.0009721
                  33,            0.035972,           0.0096494,                   0,             0.66147,             0.68392,             0.70414,             0.30625,            0.058025,            0.013234,                   0,           0.0009712,           0.0009712,           0.0009712
