               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11071,            0.024218,                   0,           0.0033333,                   1,            0.014713,           0.0028846,             0.14144,            0.016297,                   0,             0.07822,             0.00022,             0.00022
                   1,             0.10215,            0.016195,                   0,           0.0033333,                   1,           0.0082241,           0.0016881,             0.14168,             0.01472,                   0,             0.05545,           0.0004496,           0.0004496
                   2,            0.098169,            0.014812,                   0,           0.0033333,                   1,           0.0091888,           0.0027352,              0.1477,             0.01427,                   0,            0.032679,          0.00067878,          0.00067878
                   3,            0.099509,            0.014358,                   0,          0.00066667,                 0.2,          0.00087937,          8.7937e-05,              0.1586,            0.014571,                   0,           0.0099075,          0.00090754,          0.00090754
                   4,             0.10133,            0.014059,                   0,                   0,                   0,                   0,                   0,             0.17682,            0.014313,                   0,           0.0009964,           0.0009964,           0.0009964
                   5,             0.10168,            0.013262,                   0,                   0,                   0,                   0,                   0,             0.17682,            0.014313,                   0,           0.0009964,           0.0009964,           0.0009964
                   6,            0.092654,            0.013665,                   0,           0.0033333,                   1,           0.0056792,           0.0011328,             0.17199,            0.013467,                   0,           0.0009955,           0.0009955,           0.0009955
                   7,            0.088079,            0.014045,                   0,               0.002,                 0.6,           0.0017461,          0.00035765,             0.17064,            0.012506,                   0,           0.0009946,           0.0009946,           0.0009946
                   8,            0.086705,            0.014311,                   0,           0.0033333,                   1,            0.010322,           0.0038813,             0.11982,            0.014614,                   0,           0.0009937,           0.0009937,           0.0009937
                   9,            0.073174,            0.014893,                   0,           0.0033333,                   1,            0.010322,           0.0038813,             0.11982,            0.014614,                   0,           0.0009928,           0.0009928,           0.0009928
                  10,            0.077563,            0.014033,                   0,           0.0026667,                 0.8,           0.0038364,           0.0013432,             0.11333,            0.017711,                   0,           0.0009919,           0.0009919,           0.0009919
                  11,            0.087003,            0.013793,                   0,                   0,                   0,                   0,                   0,             0.23387,            0.010737,                   0,            0.000991,            0.000991,            0.000991
                  12,             0.11965,              0.0139,                   0,                   0,                   0,                   0,                   0,             0.23387,            0.010737,                   0,           0.0009901,           0.0009901,           0.0009901
                  13,            0.093142,            0.013908,                   0,           0.0033333,                   1,           0.0036145,           0.0017158,             0.11862,            0.016345,                   0,           0.0009892,           0.0009892,           0.0009892
                  14,            0.089512,            0.013287,                   0,           0.0033333,                   1,           0.0035284,          0.00090245,              0.1426,            0.014549,                   0,           0.0009883,           0.0009883,           0.0009883
                  15,            0.083645,            0.013275,                   0,           0.0033333,                   1,            0.007965,           0.0030043,             0.17219,             0.01077,                   0,           0.0009874,           0.0009874,           0.0009874
                  16,            0.076133,            0.013556,                   0,           0.0033333,                   1,            0.007965,           0.0030043,             0.17219,             0.01077,                   0,           0.0009865,           0.0009865,           0.0009865
                  17,            0.072338,            0.013556,                   0,           0.0026667,                 0.8,             0.02313,           0.0096222,             0.14575,            0.012608,                   0,           0.0009856,           0.0009856,           0.0009856
                  18,            0.073228,            0.013286,                   0,           0.0037313,                   1,            0.038832,            0.013152,             0.13781,            0.012599,                   0,           0.0009847,           0.0009847,           0.0009847
                  19,             0.08165,            0.012455,                   0,           0.0037313,                   1,            0.038832,            0.013152,             0.13781,            0.012599,                   0,           0.0009838,           0.0009838,           0.0009838
                  20,            0.083219,            0.012366,                   0,           0.0033333,                   1,            0.020604,           0.0075684,             0.13336,            0.012573,                   0,           0.0009829,           0.0009829,           0.0009829
                  21,            0.078523,            0.012761,                   0,           0.0033333,                   1,            0.011026,           0.0026828,             0.11427,            0.014312,                   0,            0.000982,            0.000982,            0.000982
                  22,            0.072945,            0.013216,                   0,           0.0026667,                 0.8,             0.01088,           0.0034427,             0.10832,            0.015287,                   0,           0.0009811,           0.0009811,           0.0009811
                  23,            0.067577,            0.013892,                   0,           0.0026667,                 0.8,             0.01088,           0.0034427,             0.10832,            0.015287,                   0,           0.0009802,           0.0009802,           0.0009802
                  24,            0.068371,            0.013686,                   0,           0.0033333,                   1,            0.010258,           0.0032027,              0.1106,            0.015211,                   0,           0.0009793,           0.0009793,           0.0009793
                  25,            0.068951,            0.013518,                   0,           0.0033333,                   1,           0.0097741,            0.003215,             0.10816,            0.015445,                   0,           0.0009784,           0.0009784,           0.0009784
                  26,             0.06587,            0.013717,                   0,           0.0033333,                   1,           0.0097741,            0.003215,             0.10816,            0.015445,                   0,           0.0009775,           0.0009775,           0.0009775
                  27,            0.068655,            0.013511,                   0,           0.0033422,                   1,            0.014174,           0.0043796,             0.11059,            0.015042,                   0,           0.0009766,           0.0009766,           0.0009766
                  28,            0.066223,            0.013721,                   0,           0.0038551,                   1,               0.214,             0.12396,                0.11,            0.014945,                   0,           0.0009757,           0.0009757,           0.0009757
                  29,            0.062586,            0.014199,                   0,            0.004931,                   1,            0.072516,            0.023808,             0.10435,            0.015551,                   0,           0.0009748,           0.0009748,           0.0009748
                  30,            0.059389,            0.014731,                   0,            0.004931,                   1,            0.072516,            0.023808,             0.10435,            0.015551,                   0,           0.0009739,           0.0009739,           0.0009739
                  31,            0.060481,             0.01477,                   0,           0.0081699,                   1,             0.36302,             0.14538,             0.10761,            0.015724,                   0,            0.000973,            0.000973,            0.000973
                  32,            0.059395,            0.014923,                   0,           0.0053191,                   1,             0.24182,            0.051832,             0.10393,            0.015745,                   0,           0.0009721,           0.0009721,           0.0009721
                  33,            0.056072,            0.015146,                   0,           0.0053191,                   1,             0.24182,            0.051832,             0.10393,            0.015745,                   0,           0.0009712,           0.0009712,           0.0009712
