               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12189,            0.044346,            0.010741,            0.091945,             0.66811,             0.34778,            0.087998,             0.10727,            0.048486,           0.0094042,            0.067131,          0.00033201,          0.00033201
                   1,             0.10153,            0.039602,           0.0089998,             0.90362,             0.20076,             0.32714,             0.10641,             0.10017,            0.041217,           0.0083174,            0.034131,          0.00066474,          0.00066474
                   2,            0.099957,            0.033169,           0.0082366,             0.52662,             0.37166,             0.34317,             0.12782,              0.1015,            0.038466,           0.0076308,           0.0011297,          0.00099687,          0.00099687
                   3,            0.097003,            0.028823,           0.0078996,              0.5789,             0.51277,             0.48978,             0.21707,            0.093414,            0.033447,           0.0070893,           0.0009973,           0.0009973,           0.0009973
                   4,            0.090119,            0.026254,           0.0072114,             0.36034,              0.6324,             0.58523,             0.28397,            0.085904,            0.030828,            0.006614,           0.0009973,           0.0009973,           0.0009973
                   5,            0.080966,            0.022996,           0.0068999,               0.486,             0.79906,             0.68024,             0.33672,            0.082042,            0.026288,           0.0062108,           0.0009964,           0.0009964,           0.0009964
                   6,            0.073632,            0.019999,            0.006591,             0.51529,             0.76097,             0.71325,             0.39533,            0.073241,            0.023727,           0.0060921,           0.0009955,           0.0009955,           0.0009955
                   7,            0.069064,            0.018314,           0.0064517,             0.67335,             0.83378,             0.79569,              0.4416,            0.069989,            0.021511,           0.0056429,           0.0009946,           0.0009946,           0.0009946
                   8,            0.065629,            0.017114,           0.0059848,             0.64797,             0.84527,             0.80878,             0.50754,            0.070411,            0.021992,           0.0055428,           0.0009937,           0.0009937,           0.0009937
                   9,            0.060014,            0.016283,           0.0056947,             0.82453,             0.81314,             0.82472,             0.50926,            0.065365,            0.021224,           0.0050662,           0.0009928,           0.0009928,           0.0009928
                  10,            0.057351,            0.015699,            0.005392,             0.78039,             0.80429,             0.81385,             0.50415,            0.063802,            0.020395,           0.0047161,           0.0009919,           0.0009919,           0.0009919
                  11,            0.057991,            0.015151,           0.0050303,             0.77433,             0.83878,             0.83495,             0.51005,            0.066135,            0.019722,           0.0045832,            0.000991,            0.000991,            0.000991
                  12,            0.055233,            0.015121,           0.0049288,             0.82786,             0.78723,             0.83424,             0.53353,            0.064663,            0.020206,           0.0045269,           0.0009901,           0.0009901,           0.0009901
                  13,            0.052902,            0.014704,           0.0047117,             0.80257,             0.78914,             0.79912,             0.49404,            0.063668,            0.019323,           0.0040678,           0.0009892,           0.0009892,           0.0009892
                  14,            0.052349,            0.013797,           0.0043225,             0.81773,             0.82449,             0.85745,             0.54477,            0.061924,            0.019444,           0.0038493,           0.0009883,           0.0009883,           0.0009883
                  15,            0.049458,            0.013575,           0.0042216,             0.84671,             0.84565,             0.86892,              0.5695,            0.059504,            0.018846,           0.0035993,           0.0009874,           0.0009874,           0.0009874
                  16,            0.050082,            0.013145,           0.0039528,             0.83473,             0.83757,             0.83302,               0.535,            0.063687,             0.01839,           0.0034843,           0.0009865,           0.0009865,           0.0009865
                  17,            0.046653,             0.01281,           0.0038344,             0.80364,              0.8614,             0.85619,             0.54779,             0.05951,            0.017857,           0.0034024,           0.0009856,           0.0009856,           0.0009856
                  18,            0.044617,             0.01249,           0.0037275,             0.82198,             0.85755,              0.8577,             0.56075,            0.058792,            0.017992,            0.003156,           0.0009847,           0.0009847,           0.0009847
                  19,            0.041322,            0.011894,           0.0034157,             0.82129,             0.83324,              0.8567,             0.55297,             0.05656,            0.018244,            0.002995,           0.0009838,           0.0009838,           0.0009838
                  20,            0.041543,            0.011393,           0.0032858,             0.86688,             0.81204,             0.86234,             0.58205,            0.058944,            0.018441,           0.0027049,           0.0009829,           0.0009829,           0.0009829
                  21,             0.03979,             0.01125,           0.0031077,             0.86068,             0.79024,             0.85497,             0.57177,            0.056656,            0.018541,           0.0026318,            0.000982,            0.000982,            0.000982
                  22,            0.038364,            0.010791,           0.0030065,             0.82095,             0.88131,             0.89773,             0.59134,            0.057822,            0.018686,           0.0024093,           0.0009811,           0.0009811,           0.0009811
                  23,            0.037607,            0.010431,           0.0027901,             0.92658,             0.78577,             0.86103,             0.58743,            0.061466,            0.019197,           0.0023374,           0.0009802,           0.0009802,           0.0009802
                  24,            0.039446,            0.010365,           0.0027637,             0.89381,             0.84365,             0.87674,             0.57993,            0.058683,            0.019365,           0.0023252,           0.0009793,           0.0009793,           0.0009793
                  25,            0.037378,            0.010186,           0.0026265,              0.8825,             0.85269,             0.84993,             0.58233,             0.05539,            0.019423,           0.0021002,           0.0009784,           0.0009784,           0.0009784
