               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079375,             0.03436,            0.013576,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.070238,           0.0033069,           0.0033069
                   1,            0.081456,            0.031506,             0.01243,                   0,                   0,                   0,                   0,                 nan,                 nan,                 nan,            0.040178,           0.0065804,           0.0065804
                   2,            0.080484,            0.031939,            0.011083,          0.00013357,            0.011364,          8.7814e-05,          2.8745e-05,                 nan,                 nan,                 nan,            0.010059,            0.009794,            0.009794
                   3,             0.08093,             0.03108,           0.0084472,                   0,                   0,                   0,                   0,                 nan,                 nan,              19.486,             0.00973,             0.00973,             0.00973
                   4,            0.072463,            0.031606,           0.0070184,          0.00044696,             0.13393,          0.00034927,          0.00013195,             0.12809,              10.841,             0.38801,             0.00973,             0.00973,             0.00973
                   5,            0.070887,            0.031603,           0.0056601,           0.0012041,              0.1875,           0.0010724,          0.00034792,            0.089341,              5.7421,             0.03876,             0.00964,             0.00964,             0.00964
                   6,            0.071077,            0.029985,           0.0048229,             0.35164,             0.35579,            0.093734,            0.023263,            0.073388,             0.10206,           0.0056287,             0.00955,             0.00955,             0.00955
                   7,            0.074634,            0.030543,           0.0065828,             0.38161,             0.22015,             0.12239,            0.032558,            0.074941,            0.081845,           0.0073473,             0.00946,             0.00946,             0.00946
                   8,             0.07582,            0.031641,           0.0052968,             0.60245,             0.11932,             0.10287,            0.029872,            0.074807,            0.041088,           0.0081861,             0.00937,             0.00937,             0.00937
                   9,            0.080984,            0.030642,            0.008405,           0.0011985,            0.018939,          0.00033968,          0.00010521,             0.14697,                 nan,              35.615,             0.00928,             0.00928,             0.00928
                  10,            0.072145,            0.031099,           0.0060291,             0.33176,             0.22096,             0.17304,            0.062896,            0.073277,            0.041598,            0.017536,             0.00919,             0.00919,             0.00919
                  11,            0.069165,            0.030283,            0.004478,             0.18406,             0.41486,             0.24902,            0.063969,            0.069961,            0.036389,             0.33607,              0.0091,              0.0091,              0.0091
                  12,            0.066153,            0.028869,           0.0039971,              0.3523,             0.53454,             0.34097,            0.099345,            0.062792,            0.036631,           0.0034628,             0.00901,             0.00901,             0.00901
                  13,            0.064136,            0.028259,           0.0039316,             0.26332,             0.42063,             0.30704,            0.094295,            0.065134,            0.034327,           0.0054138,             0.00892,             0.00892,             0.00892
                  14,            0.063327,            0.026897,           0.0038103,             0.33476,              0.5196,             0.42674,             0.13611,            0.060427,            0.035578,           0.0038698,             0.00883,             0.00883,             0.00883
                  15,            0.062512,            0.026241,           0.0031528,             0.31627,             0.48552,             0.35345,             0.13036,            0.061383,            0.037346,           0.0039681,             0.00874,             0.00874,             0.00874
                  16,            0.060045,            0.025446,           0.0028665,              0.3581,             0.37843,               0.358,             0.11721,            0.060483,            0.036227,           0.0027424,             0.00865,             0.00865,             0.00865
                  17,            0.060134,            0.026572,           0.0031271,             0.23253,             0.53263,             0.18601,            0.048961,            0.086922,             0.10169,           0.0098649,             0.00856,             0.00856,             0.00856
                  18,            0.058844,            0.025917,           0.0027497,             0.42906,             0.38617,             0.40854,             0.14165,            0.060099,             0.03623,           0.0032648,             0.00847,             0.00847,             0.00847
                  19,            0.056202,            0.024883,           0.0023831,             0.55591,             0.52377,             0.52104,             0.19453,            0.059002,            0.032508,           0.0024274,             0.00838,             0.00838,             0.00838
                  20,            0.055509,            0.024163,           0.0022014,             0.65949,             0.47432,             0.48961,             0.19549,             0.05504,            0.029872,           0.0023448,             0.00829,             0.00829,             0.00829
                  21,            0.055133,            0.023524,           0.0025296,             0.62058,             0.65471,             0.63717,             0.25749,            0.052462,             0.02892,           0.0016956,              0.0082,              0.0082,              0.0082
                  22,            0.057436,            0.025142,            0.002962,             0.54506,             0.47339,             0.50132,             0.19379,            0.066134,            0.032677,           0.0022838,             0.00811,             0.00811,             0.00811
                  23,            0.058092,            0.025331,           0.0026113,             0.51928,             0.49436,             0.50926,             0.20471,            0.058904,            0.035951,           0.0091321,             0.00802,             0.00802,             0.00802
