               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081462,            0.023137,           0.0075639,             0.88319,             0.55134,             0.62916,             0.31374,            0.082153,            0.029677,           0.0090095,             0.06703,          0.00033303,          0.00033303
                   1,            0.059246,            0.015511,           0.0053538,              0.5352,             0.73369,             0.69405,             0.43105,            0.071668,            0.026131,           0.0071182,            0.034029,          0.00066577,          0.00066577
                   2,            0.051456,            0.014118,           0.0038836,             0.76594,             0.75984,             0.79702,             0.46254,            0.067557,            0.025334,           0.0049344,           0.0010278,           0.0009979,           0.0009979
                   3,            0.048112,            0.013648,           0.0026487,             0.85536,              0.7582,             0.83217,             0.47427,            0.067532,            0.025483,           0.0031751,           0.0009973,           0.0009973,           0.0009973
                   4,            0.045846,            0.013195,           0.0018857,             0.86622,             0.75816,             0.83468,              0.5178,            0.065251,            0.024884,           0.0027598,           0.0009973,           0.0009973,           0.0009973
                   5,            0.043898,            0.013004,           0.0015162,             0.91685,             0.84772,             0.89481,             0.52673,            0.062221,            0.026633,           0.0021292,           0.0009964,           0.0009964,           0.0009964
                   6,            0.041424,            0.012656,           0.0012915,             0.86611,             0.84629,             0.89082,             0.51329,            0.064657,            0.026364,           0.0016285,           0.0009955,           0.0009955,           0.0009955
                   7,            0.041113,            0.012624,           0.0011126,             0.82415,             0.88487,             0.88278,             0.52938,            0.067026,            0.025235,           0.0016751,           0.0009946,           0.0009946,           0.0009946
                   8,            0.040605,             0.01251,          0.00093908,             0.83703,              0.8022,             0.85161,             0.50284,            0.067681,            0.029006,           0.0023504,           0.0009937,           0.0009937,           0.0009937
                   9,            0.039048,            0.012156,          0.00092511,             0.84971,             0.83519,             0.89138,             0.54789,            0.062986,            0.025438,           0.0019264,           0.0009928,           0.0009928,           0.0009928
                  10,            0.038204,            0.011954,          0.00080287,             0.84667,             0.85374,             0.85967,             0.53679,            0.062718,            0.025769,            0.001642,           0.0009919,           0.0009919,           0.0009919
                  11,            0.038201,            0.011829,          0.00072152,             0.85764,              0.7567,              0.8027,              0.4701,             0.06798,            0.033535,           0.0023947,            0.000991,            0.000991,            0.000991
                  12,            0.036505,            0.011563,          0.00066944,             0.88469,             0.82773,             0.86763,             0.50659,            0.064945,            0.030462,           0.0016012,           0.0009901,           0.0009901,           0.0009901
                  13,            0.036429,             0.01125,          0.00063505,             0.88016,             0.80974,             0.84733,             0.51301,            0.062798,            0.028123,           0.0014535,           0.0009892,           0.0009892,           0.0009892
                  14,            0.035148,            0.011042,          0.00062008,             0.78296,             0.86153,             0.81567,             0.51954,            0.064748,            0.027527,           0.0011447,           0.0009883,           0.0009883,           0.0009883
                  15,             0.03475,             0.01101,          0.00058323,             0.83133,              0.8267,             0.82151,             0.51385,            0.065861,            0.030011,            0.001414,           0.0009874,           0.0009874,           0.0009874
                  16,            0.034314,            0.010777,          0.00052612,             0.84522,             0.80234,               0.857,             0.51782,            0.064559,            0.030352,           0.0015691,           0.0009865,           0.0009865,           0.0009865
                  17,            0.034047,            0.010699,          0.00051712,             0.83457,             0.83684,             0.82602,             0.52674,            0.062265,            0.029107,            0.001564,           0.0009856,           0.0009856,           0.0009856
                  18,            0.032949,            0.010448,          0.00047286,             0.86108,             0.82531,             0.83553,             0.52137,            0.063639,            0.029799,           0.0010265,           0.0009847,           0.0009847,           0.0009847
                  19,            0.032741,            0.010271,          0.00045876,             0.84842,             0.83484,              0.8403,             0.54241,            0.060711,            0.029131,          0.00088885,           0.0009838,           0.0009838,           0.0009838
                  20,            0.032149,            0.010116,          0.00046889,              0.8313,             0.77988,             0.80704,             0.48953,             0.06527,            0.032855,           0.0019905,           0.0009829,           0.0009829,           0.0009829
                  21,            0.032652,           0.0099628,          0.00044791,             0.85852,             0.75575,             0.80342,             0.49106,            0.064234,             0.03262,           0.0033574,            0.000982,            0.000982,            0.000982
                  22,            0.031076,           0.0096915,          0.00041735,             0.85934,             0.78806,             0.83683,             0.51603,            0.065773,            0.033657,           0.0016274,           0.0009811,           0.0009811,           0.0009811
                  23,            0.030778,           0.0095932,          0.00041299,             0.84598,             0.83836,              0.8437,             0.53665,            0.060239,            0.032849,          0.00073807,           0.0009802,           0.0009802,           0.0009802
                  24,            0.030276,           0.0094722,          0.00040263,              0.8488,             0.72968,             0.80089,              0.5007,            0.063442,            0.036535,           0.0021555,           0.0009793,           0.0009793,           0.0009793
                  25,            0.030468,           0.0095958,          0.00041832,             0.84976,             0.72187,             0.78217,             0.49478,            0.064313,            0.040168,           0.0016626,           0.0009784,           0.0009784,           0.0009784
                  26,            0.029457,           0.0092256,          0.00038215,             0.81499,             0.75436,             0.78527,             0.48721,             0.06651,            0.035101,          0.00085059,           0.0009775,           0.0009775,           0.0009775
                  27,            0.030185,           0.0091453,          0.00036327,             0.83871,             0.76391,             0.79531,             0.50628,            0.063268,            0.036936,            0.001101,           0.0009766,           0.0009766,           0.0009766
                  28,            0.028666,           0.0087889,          0.00038211,             0.85773,             0.82923,             0.84406,             0.52674,            0.062049,            0.035298,          0.00074639,           0.0009757,           0.0009757,           0.0009757
                  29,             0.02796,           0.0086836,          0.00034966,             0.85977,             0.79869,             0.82991,             0.50518,            0.063525,             0.03892,           0.0017677,           0.0009748,           0.0009748,           0.0009748
                  30,            0.028371,           0.0086191,          0.00036631,             0.82181,             0.75682,             0.80592,             0.49525,            0.064833,            0.038505,           0.0023046,           0.0009739,           0.0009739,           0.0009739
                  31,            0.027905,           0.0086575,          0.00044974,             0.80911,             0.72579,             0.76436,             0.46132,            0.067698,            0.040255,           0.0012179,            0.000973,            0.000973,            0.000973
                  32,            0.029621,           0.0091712,          0.00049703,             0.85428,             0.78527,             0.82164,             0.49111,            0.065437,            0.035567,          0.00080573,           0.0009721,           0.0009721,           0.0009721
                  33,            0.029426,           0.0092177,          0.00041177,              0.8338,             0.75847,             0.80168,             0.50417,             0.06433,            0.035444,          0.00093381,           0.0009712,           0.0009712,           0.0009712
                  34,            0.029263,           0.0089781,          0.00038574,             0.79786,             0.75389,             0.78252,             0.50363,            0.063172,            0.036209,          0.00099872,           0.0009703,           0.0009703,           0.0009703
                  35,            0.028356,           0.0085984,          0.00037777,             0.84256,             0.78013,             0.80186,             0.50779,            0.063483,            0.037422,            0.001014,           0.0009694,           0.0009694,           0.0009694
                  36,            0.027588,           0.0083499,          0.00035963,             0.83237,             0.75153,              0.7958,             0.50775,            0.063905,            0.039417,           0.0014923,           0.0009685,           0.0009685,           0.0009685
                  37,            0.027295,           0.0081493,          0.00035068,               0.878,             0.74092,             0.81316,             0.51223,            0.062285,            0.042378,          0.00075894,           0.0009676,           0.0009676,           0.0009676
                  38,            0.026434,           0.0078825,          0.00031228,             0.82288,             0.76042,             0.80826,             0.49054,            0.065382,            0.042411,           0.0008047,           0.0009667,           0.0009667,           0.0009667
                  39,            0.026919,            0.007781,          0.00030909,             0.85811,             0.81235,             0.83194,             0.52096,            0.061816,            0.039867,          0.00063021,           0.0009658,           0.0009658,           0.0009658
                  40,            0.025374,           0.0074938,          0.00029054,             0.83546,             0.74859,             0.78835,             0.51379,            0.062104,            0.042701,          0.00081866,           0.0009649,           0.0009649,           0.0009649
                  41,            0.024875,           0.0072555,          0.00031887,             0.83443,             0.77572,             0.78766,             0.49603,            0.065784,            0.044522,          0.00066147,            0.000964,            0.000964,            0.000964
                  42,            0.024563,           0.0070829,          0.00030744,             0.83992,             0.77046,             0.79485,             0.51991,            0.063413,            0.041526,          0.00070699,           0.0009631,           0.0009631,           0.0009631
                  43,            0.024362,           0.0069881,          0.00030812,             0.82353,             0.70276,             0.75501,              0.4702,            0.065186,            0.049407,           0.0012494,           0.0009622,           0.0009622,           0.0009622
                  44,            0.024313,           0.0069627,          0.00029873,             0.85463,             0.71634,             0.77245,             0.51219,            0.063616,            0.044758,          0.00059271,           0.0009613,           0.0009613,           0.0009613
                  45,            0.023771,           0.0069428,          0.00028525,             0.84664,             0.73256,             0.76043,              0.4964,            0.062507,            0.045209,           0.0010416,           0.0009604,           0.0009604,           0.0009604
                  46,            0.024712,           0.0070936,          0.00033223,             0.83572,             0.77099,             0.79762,             0.51137,            0.062591,            0.043697,          0.00068387,           0.0009595,           0.0009595,           0.0009595
                  47,            0.023646,            0.006897,          0.00028592,             0.79379,             0.71295,             0.76482,              0.5018,            0.065268,            0.047089,            0.000824,           0.0009586,           0.0009586,           0.0009586
                  48,            0.023985,           0.0069882,          0.00029153,             0.82796,             0.75874,             0.78776,             0.49262,            0.062242,            0.045049,          0.00061987,           0.0009577,           0.0009577,           0.0009577
                  49,            0.024534,           0.0072929,          0.00029847,             0.81778,              0.7401,             0.76658,             0.48451,            0.065346,            0.044384,          0.00095937,           0.0009568,           0.0009568,           0.0009568
                  50,            0.025792,            0.007494,          0.00035775,             0.82466,              0.7444,             0.78102,             0.47288,            0.066536,            0.047577,           0.0008151,           0.0009559,           0.0009559,           0.0009559
                  51,              0.0249,           0.0073789,          0.00029111,             0.80264,             0.82198,             0.82124,             0.48912,            0.064775,            0.043102,          0.00077639,            0.000955,            0.000955,            0.000955
                  52,            0.024892,            0.007236,          0.00029039,             0.87026,             0.72811,             0.76437,             0.47385,            0.066554,            0.051997,          0.00074479,           0.0009541,           0.0009541,           0.0009541
