               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059121,            0.029552,           0.0072106,             0.28948,                0.11,            0.051643,             0.01431,                 nan,                 nan,                 nan,            0.070027,           0.0033303,           0.0033303
                   1,            0.050998,             0.02651,           0.0031598,             0.17001,             0.16567,            0.090263,            0.023057,                 nan,                 nan,                 nan,            0.040021,           0.0066577,           0.0066577
                   2,            0.049646,            0.024546,           0.0021419,             0.10739,             0.37326,             0.13095,            0.048096,            0.073542,            0.063927,            0.017332,            0.010009,            0.009979,            0.009979
                   3,            0.046554,            0.021644,           0.0015782,              0.3765,             0.41421,             0.31219,             0.13171,            0.058497,            0.049277,           0.0081777,            0.009973,            0.009973,            0.009973
                   4,            0.041639,             0.01995,           0.0013042,             0.53626,             0.58862,             0.51725,             0.17029,            0.057891,            0.044524,            0.002615,            0.009973,            0.009973,            0.009973
                   5,            0.041191,            0.018952,           0.0011048,              0.4996,             0.51292,             0.49755,             0.20566,            0.052585,            0.048265,           0.0034227,            0.009964,            0.009964,            0.009964
                   6,            0.038505,            0.019116,           0.0010712,              0.4314,             0.48179,             0.39917,             0.15567,            0.054652,            0.050817,           0.0046535,            0.009955,            0.009955,            0.009955
                   7,            0.037628,            0.018882,            0.001044,             0.45496,              0.4229,             0.40273,             0.16628,            0.059373,            0.055353,           0.0039269,            0.009946,            0.009946,            0.009946
                   8,            0.035386,            0.017684,          0.00086154,              0.5999,             0.43517,             0.44197,             0.18889,            0.058744,            0.059015,           0.0043393,            0.009937,            0.009937,            0.009937
                   9,            0.037212,            0.019227,           0.0013944,             0.19753,             0.31964,             0.20563,            0.088371,                 nan,                 nan,            0.087512,            0.009928,            0.009928,            0.009928
                  10,            0.035885,            0.018767,          0.00094388,              0.4777,             0.50284,               0.393,             0.17065,            0.053058,            0.058352,           0.0033882,            0.009919,            0.009919,            0.009919
                  11,            0.033917,            0.017495,          0.00076891,             0.46662,             0.43129,             0.44166,             0.20293,             0.05206,            0.052458,           0.0022754,             0.00991,             0.00991,             0.00991
                  12,            0.031809,            0.016684,          0.00071518,             0.61408,             0.49043,             0.49736,             0.23514,            0.052451,            0.052686,           0.0022504,            0.009901,            0.009901,            0.009901
                  13,            0.031158,            0.016114,            0.000738,             0.66564,             0.49613,             0.57662,             0.25419,            0.052859,            0.053421,           0.0016779,            0.009892,            0.009892,            0.009892
                  14,            0.031013,            0.016194,          0.00073518,             0.45873,             0.41956,             0.43595,             0.15938,            0.053668,            0.052593,           0.0073135,            0.009883,            0.009883,            0.009883
                  15,            0.031085,             0.01601,          0.00073305,             0.59746,              0.4631,             0.51178,             0.20793,            0.052504,            0.054619,            0.002745,            0.009874,            0.009874,            0.009874
                  16,             0.03005,            0.015928,          0.00069913,             0.72337,               0.518,             0.60479,             0.24156,            0.051543,            0.050575,           0.0054361,            0.009865,            0.009865,            0.009865
                  17,             0.02923,            0.015509,          0.00066915,             0.36028,             0.52267,             0.36974,             0.14518,            0.055411,            0.060141,           0.0026951,            0.009856,            0.009856,            0.009856
                  18,             0.02872,            0.015578,          0.00068666,             0.73526,             0.51075,             0.62022,             0.24334,            0.050514,            0.048605,           0.0027277,            0.009847,            0.009847,            0.009847
                  19,            0.028278,            0.015062,          0.00063751,             0.72019,             0.68182,             0.67408,             0.33403,            0.046342,            0.037771,           0.0028047,            0.009838,            0.009838,            0.009838
                  20,             0.02838,            0.015086,          0.00062336,             0.47621,             0.54994,             0.51728,             0.21922,            0.050184,            0.051097,           0.0024465,            0.009829,            0.009829,            0.009829
                  21,            0.028206,            0.015109,          0.00067309,             0.70576,             0.46911,             0.52467,             0.24911,            0.050511,            0.054919,           0.0031145,             0.00982,             0.00982,             0.00982
                  22,            0.027518,            0.014862,          0.00060648,             0.62916,             0.44403,             0.52021,             0.23939,            0.052045,            0.054492,             0.00474,            0.009811,            0.009811,            0.009811
                  23,            0.027734,             0.01487,          0.00061093,             0.73003,             0.59296,             0.68681,             0.35514,             0.04252,            0.042693,           0.0024639,            0.009802,            0.009802,            0.009802
                  24,            0.027324,            0.014691,            0.000591,             0.78128,             0.45968,             0.59755,             0.26213,            0.048879,            0.051355,           0.0031227,            0.009793,            0.009793,            0.009793
                  25,            0.029427,            0.015228,          0.00074635,             0.60838,             0.53654,             0.58421,             0.26716,            0.048211,            0.048521,            0.002246,            0.009784,            0.009784,            0.009784
                  26,            0.027153,            0.014427,          0.00061032,             0.61819,             0.58189,             0.58683,             0.26873,            0.049126,            0.051861,            0.002888,            0.009775,            0.009775,            0.009775
                  27,            0.026654,            0.014289,           0.0005885,             0.60512,             0.59731,             0.64948,             0.31533,            0.047077,            0.047139,            0.002457,            0.009766,            0.009766,            0.009766
                  28,            0.025714,            0.013996,          0.00058006,             0.54495,             0.48676,             0.50055,             0.23886,            0.050023,            0.056942,           0.0033815,            0.009757,            0.009757,            0.009757
                  29,            0.025923,            0.014142,          0.00053703,             0.66272,             0.47541,             0.54504,              0.2596,            0.049567,            0.051016,           0.0033128,            0.009748,            0.009748,            0.009748
                  30,            0.026016,            0.014195,          0.00056487,              0.7471,             0.50597,              0.6253,             0.30134,            0.045663,            0.048292,           0.0027612,            0.009739,            0.009739,            0.009739
                  31,            0.025604,            0.013937,          0.00056961,             0.62271,             0.54403,              0.6039,             0.27735,            0.047485,            0.047059,           0.0092928,             0.00973,             0.00973,             0.00973
                  32,            0.025671,            0.014272,          0.00055221,             0.72323,             0.64596,             0.69926,             0.33241,            0.044108,            0.039496,          0.00082792,            0.009721,            0.009721,            0.009721
                  33,            0.024964,            0.013933,           0.0005349,             0.55572,             0.56798,             0.60385,             0.27821,            0.047418,            0.049092,           0.0019948,            0.009712,            0.009712,            0.009712
                  34,            0.025208,            0.013933,          0.00052378,             0.69336,             0.52843,             0.61594,             0.28668,            0.045909,            0.051279,           0.0018017,            0.009703,            0.009703,            0.009703
                  35,            0.024898,             0.01376,          0.00050831,             0.68148,             0.53809,             0.64978,              0.2928,            0.047211,            0.052868,           0.0019028,            0.009694,            0.009694,            0.009694
                  36,            0.024955,            0.013656,          0.00049415,             0.61376,             0.47979,             0.53989,             0.24539,            0.046929,            0.055356,           0.0019052,            0.009685,            0.009685,            0.009685
                  37,            0.025056,            0.013878,          0.00058363,             0.69265,             0.59455,             0.64249,             0.31027,            0.044703,            0.045357,           0.0019917,            0.009676,            0.009676,            0.009676
                  38,            0.024899,            0.013627,          0.00052942,             0.61553,             0.55432,             0.57092,             0.28036,            0.047057,            0.047483,           0.0020465,            0.009667,            0.009667,            0.009667
                  39,            0.025175,            0.013834,          0.00053936,             0.62309,             0.56285,             0.57764,             0.27297,            0.046483,            0.052197,           0.0017885,            0.009658,            0.009658,            0.009658
                  40,            0.025187,            0.013745,          0.00054597,             0.53183,             0.49077,             0.52174,             0.26565,            0.049058,            0.062598,           0.0010244,            0.009649,            0.009649,            0.009649
                  41,            0.025176,            0.013827,          0.00053964,             0.68283,             0.38547,             0.50085,             0.24463,             0.05124,            0.057792,           0.0031482,             0.00964,             0.00964,             0.00964
                  42,             0.02421,            0.013473,          0.00051953,             0.66873,             0.50329,             0.58123,             0.28948,            0.047096,            0.053997,           0.0036094,            0.009631,            0.009631,            0.009631
                  43,            0.024014,            0.013305,          0.00048263,             0.68611,             0.52933,             0.64898,             0.32753,            0.046778,            0.058038,           0.0019971,            0.009622,            0.009622,            0.009622
                  44,            0.024136,             0.01314,          0.00053048,             0.74132,             0.39602,             0.46825,             0.21093,            0.053289,            0.061007,           0.0046949,            0.009613,            0.009613,            0.009613
                  45,            0.024274,            0.013364,          0.00052634,             0.66332,             0.53025,             0.58296,              0.2829,             0.04793,            0.045581,            0.006416,            0.009604,            0.009604,            0.009604
                  46,            0.025535,             0.01426,          0.00060294,             0.60819,              0.5601,             0.60957,             0.27169,            0.046506,            0.049222,           0.0024407,            0.009595,            0.009595,            0.009595
                  47,            0.023837,            0.013551,          0.00051263,             0.69681,             0.58524,              0.6616,             0.36906,            0.043348,            0.049627,           0.0013747,            0.009586,            0.009586,            0.009586
                  48,            0.023303,            0.013055,          0.00047347,             0.65188,             0.51639,             0.59197,             0.29636,            0.047879,            0.053933,           0.0014071,            0.009577,            0.009577,            0.009577
                  49,             0.02287,            0.012874,          0.00050821,             0.51425,             0.37853,             0.44429,             0.20227,              0.0522,            0.064518,           0.0055793,            0.009568,            0.009568,            0.009568
                  50,            0.023094,            0.012926,            0.000485,             0.60599,             0.34786,              0.3919,             0.18958,            0.057604,            0.064495,           0.0046958,            0.009559,            0.009559,            0.009559
                  51,             0.02268,            0.012685,          0.00047002,             0.52074,             0.46842,             0.52119,             0.25659,            0.048059,            0.059955,            0.002724,             0.00955,             0.00955,             0.00955
                  52,            0.022849,            0.012764,          0.00047816,             0.62639,             0.60048,             0.65907,             0.32963,            0.044277,            0.052115,           0.0016641,            0.009541,            0.009541,            0.009541
                  53,            0.022818,            0.012742,          0.00050757,             0.58071,             0.49787,             0.54321,             0.22781,            0.050875,            0.057358,           0.0028085,            0.009532,            0.009532,            0.009532
                  54,            0.023129,            0.012836,          0.00046437,             0.68427,             0.51817,              0.6199,             0.32311,            0.044993,            0.052137,           0.0026361,            0.009523,            0.009523,            0.009523
                  55,            0.023149,            0.012924,          0.00050071,             0.73612,             0.39606,              0.4829,             0.25454,            0.049985,            0.055991,           0.0045808,            0.009514,            0.009514,            0.009514
                  56,            0.023768,            0.013258,          0.00051824,             0.50264,             0.52845,             0.51055,             0.24044,            0.049878,             0.05522,           0.0034817,            0.009505,            0.009505,            0.009505
                  57,            0.023634,            0.013092,          0.00048686,             0.55008,             0.45135,             0.50189,             0.25767,            0.048675,             0.06044,           0.0024836,            0.009496,            0.009496,            0.009496
                  58,             0.02295,            0.012768,          0.00045677,             0.64264,             0.38392,              0.4669,             0.23953,            0.051195,            0.067064,           0.0072063,            0.009487,            0.009487,            0.009487
                  59,            0.022448,             0.01263,          0.00047606,             0.71537,             0.42311,             0.54102,             0.27126,            0.049698,            0.056339,           0.0027508,            0.009478,            0.009478,            0.009478
